mcg,gvh,alm,mit,erl,pox,vac,nuc,name
0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,0
0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,6
0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,6
0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,6
0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,6
0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,6
0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,6
0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,6
0.43,0.57,0.51,0.49,0.5,0.0,0.48,0.22,6
0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,6
0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,6
0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,6
0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,6
0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,6
0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,5
0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,5
0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,2
0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,7
0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,0
0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,0
0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,6
0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,0
0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,7
0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,0
0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,5
0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,2
0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,6
0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,6
0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,0
0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,5
0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,5
0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,0
0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,7
0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,0
0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,5
0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,0
0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,0
0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,0
0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,0
0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,8
0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,7
0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,7
0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,7
0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,7
0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,6
0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,6
0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,6
0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,6
0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,6
0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,6
0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,6
0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,6
0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,6
0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,5
0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,6
0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,7
0.46,0.71,0.48,0.53,0.5,0.0,0.53,0.22,6
0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,7
0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,0
0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,0
0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,0
0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,0
0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,7
0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,7
0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,0
0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,5
0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,7
0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,0
0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,7
0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,0
0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,7
0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,7
0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,7
0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,0
0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,7
0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,0
0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,0
0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,7
0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,7
0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,7
0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,0
0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,7
0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,0
0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,7
0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,7
0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,0
0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,7
0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,7
0.71,0.59,0.48,0.43,0.5,0.0,0.59,0.22,6
0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,0
0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,7
0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,7
0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,5
0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,5
0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,5
0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,5
0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,5
0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,7
0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,0
0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,0
0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,0
0.38,0.68,0.44,0.45,0.5,0.0,0.53,0.22,6
0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,8
0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,7
0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,7
0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,7
0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,0
0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,0
0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,0
0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,0
0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,0
0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,0
0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,0
0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,0
0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,0
0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,0
0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,0
0.75,0.7,0.38,0.27,0.5,0.0,0.49,0.22,3
0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,6
0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,0
0.52,0.51,0.51,0.54,0.5,0.0,0.55,0.27,6
0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,6
0.52,0.56,0.54,0.53,0.5,0.0,0.45,0.22,6
0.58,0.58,0.58,0.49,0.5,0.0,0.49,0.26,6
0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,6
0.72,0.61,0.37,0.3,0.5,0.0,0.57,0.22,6
0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,6
0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,6
0.42,0.31,0.62,0.12,0.5,0.0,0.4,0.22,6
0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,6
0.42,0.58,0.41,0.65,0.5,0.0,0.46,0.26,6
0.59,0.61,0.34,0.22,0.5,0.0,0.51,0.22,6
0.52,0.77,0.38,0.34,0.5,0.0,0.51,0.22,6
0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,6
0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,6
0.5,0.41,0.44,0.5,0.5,0.0,0.42,0.22,6
0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,6
0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,6
0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,6
0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,6
0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,0
0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,0
0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,0
0.77,0.79,0.58,0.23,0.5,0.0,0.48,0.22,2
0.47,0.46,0.59,0.49,0.5,0.0,0.56,0.22,6
0.73,0.83,0.43,0.3,0.5,0.0,0.55,0.22,3
0.78,0.74,0.58,0.25,1.0,0.0,0.53,0.22,1
0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,9
0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,5
0.56,0.52,0.48,0.17,0.5,0.0,0.46,0.22,7
0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,0
0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,0
0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,7
0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,7
0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,7
0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,4
0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,8
0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,7
0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,7
0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,5
0.82,0.78,0.49,0.23,0.5,0.0,0.46,0.22,2
0.82,0.75,0.54,0.23,0.5,0.0,0.46,0.22,2
0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,0
0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,0
0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,0
0.53,0.44,0.51,0.33,0.5,0.0,0.52,0.22,6
0.46,0.54,0.71,0.15,0.5,0.0,0.59,0.22,6
0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,6
0.53,0.53,0.6,0.13,0.5,0.0,0.49,0.22,6
0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,6
0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,0
0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,0
0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,0
0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,6
0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,6
0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,5
0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,5
0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,8
0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,7
0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,7
0.56,0.43,0.54,0.16,0.5,0.0,0.5,0.22,7
0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,9
0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,7
0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,7
0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,7
0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,7
0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,7
0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,7
0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,0
0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,0
0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,7
0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,7
0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,6
0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,7
0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,7
0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,7
0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,4
0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,0
0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,7
0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,5
0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,0
0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,7
0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,7
0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,4
0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,0
0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,0
0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,7
0.36,0.49,0.3,0.22,0.5,0.0,0.52,0.31,5
0.78,0.7,0.32,0.23,0.5,0.0,0.53,0.22,3
0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,0
0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,0
0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,0
0.29,0.43,0.4,0.15,0.5,0.0,0.53,0.22,5
0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,5
0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,4
0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,5
0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,0
0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,4
0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,0
0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,4
0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,0
0.63,0.61,0.41,0.22,0.5,0.0,0.51,0.22,5
0.58,0.53,0.38,0.18,0.5,0.0,0.52,0.22,5
0.36,0.46,0.43,0.19,0.5,0.0,0.48,0.22,5
0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,0
0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,4
0.62,0.58,0.46,0.13,0.5,0.0,0.53,0.22,0
0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,5
0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,4
0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,7
0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,7
0.77,0.8,0.51,0.4,1.0,0.0,0.54,0.22,1
0.77,0.87,0.47,0.37,0.5,0.0,0.48,0.22,2
0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,0
0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22,0
0.57,0.61,0.45,0.26,0.5,0.0,0.5,0.22,0
0.63,0.62,0.42,0.12,0.5,0.0,0.52,0.25,0
0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,0
0.56,0.62,0.53,0.24,0.5,0.0,0.57,0.22,0
0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,0
0.71,0.59,0.53,0.15,0.5,0.0,0.49,0.33,0
0.46,0.35,0.33,0.17,0.5,0.0,0.55,0.22,5
0.54,0.55,0.42,0.22,0.5,0.0,0.48,0.22,5
0.39,0.44,0.28,0.12,0.5,0.0,0.46,0.27,5
0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,7
0.81,0.82,0.41,0.36,0.5,0.0,0.39,0.22,2
0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,8
0.46,0.48,0.44,0.21,0.5,0.0,0.55,0.22,8
0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,0
0.74,0.72,0.47,0.25,0.5,0.0,0.57,0.22,3
0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,7
0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,5
0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,3
0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,4
0.45,0.4,0.56,0.14,0.5,0.0,0.54,0.22,0
0.47,0.47,0.58,0.16,0.5,0.0,0.49,0.28,0
0.41,0.39,0.51,0.52,0.5,0.0,0.49,0.22,0
0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,5
0.69,0.6,0.5,0.31,0.5,0.0,0.55,0.22,0
0.35,0.56,0.36,0.3,0.5,0.0,0.53,0.25,5
0.84,0.66,0.36,0.78,0.5,0.0,0.49,0.5,3
0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,0
0.37,0.43,0.62,0.27,0.5,0.0,0.48,0.22,7
0.55,0.66,0.57,0.32,0.5,0.0,0.57,0.34,0
0.48,0.35,0.42,0.21,0.5,0.0,0.57,0.22,0
0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,0
0.56,0.59,0.53,0.16,0.5,0.0,0.24,0.42,7
0.44,0.51,0.37,0.15,0.5,0.0,0.51,0.22,5
0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,7
0.5,0.5,0.48,0.17,0.5,0.0,0.47,0.26,0
0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,7
0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,5
0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,7
0.7,0.69,0.43,0.33,0.5,0.0,0.58,0.22,3
0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,7
0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25,0
0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,0
0.42,0.39,0.47,0.13,0.5,0.0,0.5,0.27,0
0.32,0.38,0.52,0.2,0.5,0.0,0.52,0.28,0
0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,0
0.41,0.52,0.41,0.11,0.5,0.0,0.54,0.35,0
0.37,0.33,0.5,0.12,0.5,0.0,0.51,0.54,0
0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,0
0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,7
0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,7
0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,7
0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,7
0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,7
0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,7
0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22,0
0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,4
0.38,0.47,0.53,0.12,0.5,0.0,0.48,0.22,0
0.59,0.43,0.52,0.19,0.5,0.0,0.55,0.27,0
0.64,0.53,0.45,0.13,0.5,0.0,0.53,0.22,0
0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,5
0.52,0.51,0.51,0.12,0.5,0.0,0.51,0.4,0
0.49,0.43,0.48,0.15,0.5,0.0,0.55,0.25,0
0.49,0.47,0.52,0.16,0.5,0.0,0.53,0.28,0
0.48,0.39,0.49,0.18,0.5,0.0,0.51,0.22,0
0.44,0.34,0.55,0.18,0.5,0.0,0.52,0.22,0
0.43,0.54,0.58,0.16,0.5,0.0,0.5,0.36,7
0.49,0.42,0.54,0.17,0.5,0.0,0.5,0.36,0
0.34,0.66,0.51,0.16,0.5,0.0,0.47,0.33,7
0.2,0.34,0.33,0.1,0.5,0.0,0.48,0.31,5
0.74,0.53,0.5,0.08,0.5,0.0,0.55,0.31,0
0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,4
0.3,0.5,0.47,0.11,0.5,0.0,0.46,0.22,0
0.44,0.51,0.48,0.38,0.5,0.0,0.52,0.22,0
0.31,0.45,0.5,0.17,0.5,0.0,0.49,0.22,0
0.55,0.41,0.56,0.21,0.5,0.0,0.52,0.22,0
0.4,0.34,0.52,0.17,0.5,0.0,0.47,0.51,7
0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,0
0.58,0.48,0.56,0.1,0.5,0.0,0.46,0.25,7
0.58,0.48,0.56,0.12,0.5,0.0,0.46,0.25,7
0.58,0.45,0.48,0.24,0.5,0.0,0.52,0.37,0
0.58,0.41,0.51,0.26,0.5,0.0,0.51,0.37,0
0.41,0.6,0.53,0.29,0.5,0.0,0.47,0.43,7
0.69,0.5,0.49,0.42,0.5,0.0,0.49,0.22,6
0.38,0.49,0.61,0.13,0.5,0.0,0.54,0.22,0
0.6,0.48,0.44,0.52,0.5,0.0,0.54,0.63,7
0.47,0.49,0.63,0.17,0.5,0.0,0.31,0.26,7
0.28,0.51,0.55,0.11,0.5,0.0,0.46,0.22,7
0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,7
0.21,0.38,0.49,0.16,0.5,0.0,0.51,0.45,0
0.46,0.57,0.57,0.15,0.5,0.0,0.52,0.26,7
0.43,0.42,0.54,0.22,0.5,0.0,0.57,0.33,7
0.57,0.59,0.5,0.58,0.5,0.0,0.53,0.22,6
0.48,0.34,0.47,0.14,0.5,0.0,0.47,0.26,0
0.35,0.4,0.53,0.18,0.5,0.0,0.42,0.38,0
0.47,0.45,0.53,0.62,0.5,0.0,0.46,0.22,6
0.53,0.43,0.47,0.15,0.5,0.0,0.58,0.22,0
0.46,0.45,0.56,0.16,0.5,0.0,0.56,0.22,0
0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,7
0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,7
0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,7
0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,7
0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,7
